0,1,2,3
T30UVA_20250612T112131_B02_20m_R20m_synth_7,B02_20m,12065.1,"[-3.623833, 50.060257]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623815, 50.059643]"
T30UVA_20250612T112131_B05_60m_R60m_synth_10,B05_60m,12065.1,"[-3.623736, 50.057094]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623824, 50.059975]"
T30UVA_20250612T112131_B12_60m_R60m_synth_8,B12_60m,12065.1,"[-3.623702, 50.058654]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_10,SCL_60m,12065.1,"[-3.623707, 50.058201]"
T30UVA_20250612T112131_B07_60m_R60m_synth_2,B07_60m,12065.1,"[-3.62379, 50.057378]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623703, 50.058617]"
T30UVA_20250612T112131_B02_20m_R20m_synth_10,B02_20m,12065.1,"[-3.62379, 50.059437]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623805, 50.058371]"
T30UVA_20250612T112131_B05_60m_R60m_synth_6,B05_60m,12065.1,"[-3.623746, 50.059974]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623725, 50.056616]"
T30UVA_20250612T112131_B12_60m_R60m_synth_6,B12_60m,12065.1,"[-3.623765, 50.059792]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623635, 50.056561]"
T30UVA_20250612T112131_B12_60m_R60m_synth_9,B12_60m,12065.1,"[-3.623762, 50.059444]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_7,SCL_60m,12065.1,"[-3.623782, 50.059916]"
T30UVA_20250612T112131_B11_60m_R60m_synth_10,B11_60m,12065.1,"[-3.623693, 50.060494]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623748, 50.060065]"
T30UVA_20250612T112131_B05_60m_R60m_synth_8,B05_60m,12065.1,"[-3.623653, 50.057003]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_1,SCL_60m,12065.1,"[-3.623646, 50.056572]"
T30UVA_20250612T112131_B12_60m_R60m_synth_8,B12_60m,12065.1,"[-3.623729, 50.0583]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_10,SCL_60m,12065.1,"[-3.623707, 50.057317]"
T30UVA_20250612T112131_B07_60m_R60m_synth_4,B07_60m,12065.1,"[-3.623777, 50.058498]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623658, 50.058037]"
T30UVA_20250612T112131_B02_20m_R20m_synth_3,B02_20m,12065.1,"[-3.623827, 50.059455]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_1,SCL_60m,12065.1,"[-3.623672, 50.059591]"
T30UVA_20250612T112131_B02_20m_R20m_synth_10,B02_20m,12065.1,"[-3.623738, 50.06003]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_6,SCL_60m,12065.1,"[-3.623803, 50.057849]"
T30UVA_20250612T112131_B05_60m_R60m_synth_4,B05_60m,12065.1,"[-3.623801, 50.057452]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_5,SCL_60m,12065.1,"[-3.623689, 50.057007]"
T30UVA_20250612T112131_B12_60m_R60m_synth_2,B12_60m,12065.1,"[-3.623654, 50.05816]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_1,SCL_60m,12065.1,"[-3.623799, 50.059903]"
T30UVA_20250612T112131_B12_60m_R60m_synth_8,B12_60m,12065.1,"[-3.623761, 50.060455]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623684, 50.06035]"
T30UVA_20250612T112131_B07_60m_R60m_synth_4,B07_60m,12065.1,"[-3.623702, 50.057946]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_2,SCL_60m,12065.1,"[-3.623827, 50.059718]"
T30UVA_20250612T112131_B07_60m_R60m_synth_8,B07_60m,12065.1,"[-3.623766, 50.058013]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623735, 50.059694]"
T30UVA_20250612T112131_B02_20m_R20m_synth_9,B02_20m,12065.1,"[-3.623745, 50.057995]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_9,SCL_60m,12065.1,"[-3.623728, 50.058017]"
T30UVA_20250612T112131_B11_60m_R60m_synth_5,B11_60m,12065.1,"[-3.623653, 50.057019]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_3,SCL_60m,12065.1,"[-3.623691, 50.057015]"
T30UVA_20250612T112131_B11_60m_R60m_synth_7,B11_60m,12065.1,"[-3.623717, 50.058751]"
T30UVA_20250612T112131_SCL_60m_R60m_synth_8,SCL_60m,12065.1,"[-3.623691, 50.060424]"
T30UVA_20250612T112131_B12_60m_R60m_synth_1,B12_60m,12065.1,"[-3.623839, 50.060289]"
